Image,Brand,Name,Price,URL
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3011/b5e982fce542c70060d419d517312d21360124046012f1e4fb4b476b40bd.jpg,갸스비,셋앤킵 슈퍼하드 헤어 스프레이 263ml 3개,18950,https://www.coupang.com//vp/products/30294686?itemId=8463528453&vendorItemId=83287474368&pickType=COU_PICK&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=1
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13745872385703788-0927705e-e248-4364-aa3d-bd0b4bde068a.jpg,다슈,포 맨 프리미엄 밤부 핀 헤어스프레이 300ml 1개,10900,https://www.coupang.com//vp/products/1491377828?itemId=2560227824&vendorItemId=70552719491&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=2
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3dd9d947-305b-4640-a265-a655d9cf3ee41005714973117918492.png,미쟝센,스타일케어 프로 스트롱홀드 헤어스프레이 300ml 2개,11480,https://www.coupang.com//vp/products/7218655772?itemId=18626776749&vendorItemId=85762150882&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=3
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7975324118062562-dd97d79d-f0d6-487c-97f7-e739c57e5e76.jpg,다슈,포 맨 프리미엄 메가 홀드 슈퍼 스프레이 250ml x 2p + 메가 홀드 스프레이 50ml 1세트,16900,https://www.coupang.com//vp/products/1802260138?itemId=3066442535&vendorItemId=71054377046&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=6
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/c4363254-957a-4bcd-a80e-a3fd5324f8048687217267770366883.png,미쟝센,스타일케어 프로 스트롱홀드 헤어스프레이 300ml 3개,16470,https://www.coupang.com//vp/products/7218655772?itemId=18626776758&vendorItemId=85762150894&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=7
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4071266753605044-3265536a-d264-43a4-b7a0-28cfeff088b3.jpg,미샤,프로큐어 트랜스타일 홀딩 헤어 스프레이 300ml 1개,3490,https://www.coupang.com//vp/products/1158680?itemId=5785351&vendorItemId=4615641933&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=9
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/aa87de05-2343-4704-ab69-946e854d13a43873205657323349374.png,미샤,프로큐어 트랜스타일 홀딩 헤어 스프레이 300ml 4개,11900,https://www.coupang.com//vp/products/1158680?itemId=18729054579&vendorItemId=85861654469&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=12
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/10/13/3000239713/8deaeb4e-aee4-420b-92af-9f75b4e55305.jpg,로레알,에르네뜨 샤땡 헤어스프레이 500ml 1개,15500,https://www.coupang.com//vp/products/2337848?itemId=10751025&vendorItemId=82330249825&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=13
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/18/3/ba2c9528-ebc4-412d-bed4-8624c564d862.jpg,미쟝센,스타일케어 프로 스트롱홀드 헤어스프레이 300ml 1개,5990,https://www.coupang.com//vp/products/7218655772?itemId=18287621862&vendorItemId=85433453692&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=14
https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5d74/bb40dd28886298f6df705644f30a75eaf80d4904991cc27f85fac55cd345.jpg,미쟝센,파워스윙 슈퍼 스트롱 스프레이 9 200ml 3개,18790,https://www.coupang.com//vp/products/178776?itemId=515142155&vendorItemId=5513801055&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=15
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7128822969708477-d5e407d6-2c21-41be-98b2-c61a09161dcb.jpg,제이숲,레드제이 힐링픽서 플러스 헤어 스프레이 200ml 1개,12900,https://www.coupang.com//vp/products/7041184728?itemId=17413116645&vendorItemId=71794504596&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=16
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2016/12/20/16/8/c86238c0-30d0-492f-9124-a7560cabc215.jpg,엘지생활건강,아르드포 헤어 스프레이 4개 헤어스프레이 300ml,16550,https://www.coupang.com//vp/products/11738559?itemId=50449726&vendorItemId=74755425624&q=%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4&itemsCount=36&searchId=9de916fc6b3f45e4af3f178e2d41cb66&rank=17
